Errores detectados en ON:
Formato incorrecto en Fecha Vuelo Int 2 [3,Z]
Categoría faltante [3,AW]
Hotel faltante [4,BC]
Hora inválida [4,BR]
Hora inválida [5,BR]
Hora inválida [6,BR]
Hora inválida [7,BR]
Hora inválida [8,BR]
Hora inválida [9,BR]
Hora inválida [10,BR]
Hora inválida [12,BR]
Hora inválida [13,BR]
Hora inválida [14,BR]
Hora inválida [15,BR]
Hora inválida [16,BR]
Hora inválida [17,BR]
Hora inválida [18,BR]
Hora inválida [19,BR]
Hora inválida [20,BR]
Hora inválida [21,BR]
Fecha inexistente [3,BW]
Hora inválida [4,BX]
Hora inválida [5,BX]
Hora inválida [6,BX]
Hora inválida [7,BX]
Hora inválida [8,BX]
Hora inválida [9,BX]
Fecha inexistente [10,BW]
Hora inválida [10,BX]
Hora inválida [12,BX]
Hora inválida [13,BX]
Hora inválida [14,BX]
Hora inválida [15,BX]
Hora inválida [16,BX]
Hora inválida [17,BX]
Hora inválida [18,BX]
Hora inválida [19,BX]
Hora inválida [20,BX]
Hora inválida [21,BX]
Hora inválida [4,CD]
Hora inválida [5,CD]
Hora inválida [6,CD]
Hora inválida [7,CD]
Hora inválida [8,CD]
Hora inválida [9,CD]
Hora inválida [10,CD]
Hora inválida [12,CD]
Hora inválida [13,CD]
Hora inválida [14,CD]
Hora inválida [15,CD]
Hora inválida [16,CD]
Hora inválida [17,CD]
Hora inválida [18,CD]
Hora inválida [19,CD]
Hora inválida [20,CD]
Hora inválida [21,CD]
Valor no válido en 'Activo' [5,A]
Valor no válido en 'Activo' [6,A]
Valor 'Activo' faltante [7,A]
Proveedor PUQ faltante [4,AS]
Proveedor WPU faltante [5,AU]

Errores detectados en OFF:
Hotel faltante [3,AV]
City In faltante [3,BA]
City In faltante [3,BG]
City In faltante [3,BM]
City In faltante [3,BS]

