Errores detectados en ON:
Categoría faltante [11,AW]
City In faltante [11,BM]
Hora faltante [3,BX]
Hora faltante [4,BX]
Hora faltante [5,BX]
Hora faltante [6,BX]
Hora faltante [7,BX]
Hora faltante [8,BX]
Hora faltante [9,BX]
Hora faltante [10,BX]
City In faltante [11,BS]
Hora faltante [12,BX]
Hora faltante [13,BX]
Hora faltante [14,BX]
Hora faltante [15,BX]
Hora faltante [16,BX]
Hora faltante [17,BX]
Hora faltante [18,BX]
Hora faltante [19,BX]
Hora faltante [20,BX]
City In faltante [3,BY]
City In faltante [4,BY]
City In faltante [5,BY]
City In faltante [6,BY]
City In faltante [7,BY]
City In faltante [8,BY]
City In faltante [9,BY]
City In faltante [10,BY]
City In faltante [3,CE]
City In faltante [4,CE]
City In faltante [5,CE]
City In faltante [6,CE]
City In faltante [7,CE]
City In faltante [8,CE]
City In faltante [9,CE]
City In faltante [10,CE]

Errores detectados en OFF:
Categoría faltante [7,AK]
Hora inválida [19,BF]
Hora inválida [20,BF]
Hora inválida [8,BR]
Proveedor PUQ faltante [9,AG]
Proveedor WPU faltante [9,AI]
Proveedor PUQ faltante [10,AG]
Proveedor WPU faltante [10,AI]

